NUM_SOLICITUD,PUNTO_VENTA,SITUACION_SOLICITUD,PUNTO_DECISION,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,ESTRATEGIA_LC,LC_APLICADA,INGRESO_INFERIDO,MODELO_INGRESO_INFERIDO,INGRESO_FINAL,INGRESO_DECLARADO,TIPO_COMPROBANTE_INGRESO,INGRESO_VERIFICADO,MODELO_INGRESO_SWA,MODELO_INGRESO_SWB,MODELO_INGRESO_SWC,MODELO_INGRESO_SWD,MODELO_NO_HIT_INGRESO,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES_ONUS,SUMA_LINEAS_CRED_PERSONALES_ONUS,CAPACIDAD_PAGO_TOTAL,CAPACIDAD_PAGO_NETA,INFERENCIA_INGRESO_NOMINA,INFERENCIA_INGRES_ACTIVOS,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,MONTO_REFERENCIA_MASANTIGUA,TARJETA_MAS_RECIENTE,COEMITIDA_MAS_RECIENTE,PRIVADA_MAS_RECIENTE,NUMERO_TARJETAS_CRED,PEOR_MOP_TARJETAS_VIGENTES,SUMA_SALDOS_TARJETAS,SUMAS_PAGOS_VENCIDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,SUMA_LINEAS_CREDITO_TARJETAS,PEOR_HISTORIA_TARJETAS,CRED_PERSONAL_MAS_RECIENTE,FECHA_CRED_NOMINA_MAS_RECIENTE,FECHA_CRED_CHEQUE_MAS_RECIENTE,NUM_CREDITOS_PERSONALES,PEOR_HISTORIA_CRED_PERSONAL,SUMA_SALDOS_CRED_PERSONAL,SUMAS_PAGOS_VENCIDOS_CRED_PERSONAL,SUMA_PAGO_MIN_CRED_PERSONAL,SUMA_LINEAS_CREDITO_CRED_PERSONAL,CRED_HIPOTECA_MAS_RECIENTE,NUM_CRED_HIPOTECAS,PEOR_HISTORIA_CRED_HIPOTECA,SUMA_SALDOS_REESTRUCTURA,SUMAS_PAGOS_VENCIDOS_REESTRUCTURA,SUMA_PAGO_MIN_REESTRUCTURA,SUMA_LINEAS_CREDITO_REESTRUCTURA,CRED_AUTO_MAS_RECIENTE,EDAD,TIPO_VIVIENDA,ESCOLARIDAD,NIVEL_RIESGO
2.01406E+16,4376,75,0,21700,9.98345E+14,0,5208,0,6,18267,3,18267,29500,15,0,5782,6612,6807,9538,0,3,1,0,14962,5480,4816,0,21672,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,1,0,14962,0,0,0,0,0,0,0,0,0,0,0,40,4,3,3
2.01406E+16,937,75,0,47000,9.98345E+14,0,12220,0,6,26025,1,26025,25000,3,23443,5909,5827,6949,9995,0,5,1,0,0,10410,10410,0,46845,0,263,0,0,0,1405,0,1,1,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,5,2
2.01406E+16,4376,75,0,0,,,,0,0,0,2,0,85000,11,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,183,740,0,1311,0,0,2,1,4546,0,570,113500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,5,3
2.01406E+16,4257,75,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,1,1,3991,0,250,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,4,0
2.01406E+16,163,75,1,0,,,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,1,1,19042,0,1230,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,4,0
2.01406E+16,265,75,0,10000,9.98345E+14,0,7600,0,6,19110,3,19110,22000,15,0,8820,14598,7410,10413,0,3,1,0,0,5733,5733,0,25798,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,4,3
2.01406E+16,390,75,0,5800,9.98345E+14,3,1218,0,6,6137,1,6137,48000,15,0,5522,5103,5799,5397,0,3,1,0,0,1841,1299,0,5846,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,0,1,0,31374,0,532,0,0,0,0,0,0,0,0,0,34,1,5,3
2.01406E+16,4257,75,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,1,0,1692,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,3,0
2.01406E+16,195,75,0,0,,,,0,0,0,2,0,8000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,5,3
2.01406E+16,4399,75,0,0,,,,0,0,0,2,0,56000,15,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,3,3
2.01406E+16,767,75,0,59000,9.98345E+14,2,65490,0,5,43471,1,43471,68000,11,0,13779,15413,13604,9484,0,2,1,65000,0,17388,13035,0,58659,0,197,711,0,1304,0,0,2,1,32047,0,1470,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,2,2
2.01406E+16,4342,75,0,5000,9.98345E+14,3,5000,0,2,13230,4,13993,15500,11,0,9865,8730,13056,15006,0,3,1,36000,0,5597,1399,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,1,0,50525,0,1182,79500,0,0,0,0,0,0,0,0,41,3,4,2
2.01406E+16,4896,75,1,0,,,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,5,0
